"City Id","City name","Total Users",Percentage
28,Lucknow,881,2.68
29,Ghaziabad,663,2.01
18231,"Gautam Buddh Nagar",530,1.61
127,Patna,495,1.50
18220,"Kanpur Nagar",432,1.31
33,Prayagraj,430,1.31
32,Varanasi,418,1.27
93,Indore,416,1.26
31,Meerut,415,1.26
35,Aligarh,379,1.15
94,Bhopal,358,1.09
36,Moradabad,352,1.07
17521,Congratulate,323,0.98
38,Gorakhpur,312,0.95
716,Agraula,302,0.92
23,Gurugram,277,0.84
37,Saharanpur,268,0.81
43,Mathura-Vrindavan,261,0.79
42,Muzaffarnagar,246,0.75
18283,Gurgaon,233,0.71
81,Bijnor,219,0.67
96,Gwalior,219,0.67
194,Faridabad,207,0.63
17409,Suratganj,202,0.61
34,Bareilly,196,0.60
40,Firozabad,196,0.60
18858,"Indore District",191,0.58
95,Jabalpur,190,0.58
64,Unnao,189,0.57
65,Jaunpur,187,0.57
236,Rewari,180,0.55
46,Shahjahanpur,174,0.53
80,Azamgarh,172,0.52
131,Muzaffarpur,172,0.52
20,Pune,171,0.52
98,Ujjain,169,0.51
18417,"Lakhimpur Kheri",165,0.50
757,Hisar,162,0.49
61,Sitapur,160,0.49
728,Rohtak,158,0.48
1086,Ludhiana,158,0.48
17600,"Panipat Taraf Makhdum Zadgan",156,0.47
41,Jhansi,153,0.46
281,Dehradun,151,0.46
1051,Dhanbad,150,0.46
411,Haridwar,147,0.45
16069,Rampura,146,0.44
57,Hardoi,144,0.44
70,Barabanki,144,0.44
18345,Bulandshahar,141,0.43
15500,Thanesar,141,0.43
15842,Karnal,139,0.42
17210,Amroha,139,0.42
27,Kanpur,137,0.42
6356,Jaipur,136,0.41
406,"New Delhi",135,0.41
67,Hathras,134,0.41
16681,"Mumbai Suburban",133,0.40
129,Bhagalpur,132,0.40
47,Farrukhabad-cum-Fategarh,129,0.39
18422,Gonda,127,0.39
18892,"Bareilly District",126,0.38
16072,Samastipur,122,0.37
18285,Gaya,122,0.37
15564,Kushinagar,121,0.37
18332,Vaishali,120,0.36
99,Dewas,120,0.36
54,Bulandshahr,119,0.36
18804,"Faridabad District",119,0.36
76,Deoria,118,0.36
78,Ghazipur,118,0.36
132,Darbhanga,117,0.36
18451,Pratapgarh,116,0.35
18147,Sarangpur,115,0.35
1,Ahmedabad,114,0.35
136,Katihar,113,0.34
135,Begusarai,113,0.34
18363,Sonepat,112,0.34
383,"Shamli Rural",111,0.34
53,Mirzapur-cum-Vindhyachal,110,0.33
156,Ranchi,109,0.33
18263,"East Singhbhum",108,0.33
51,Ayodhya,108,0.33
18599,"Fatehpur Sikri",107,0.33
1271,"Ambala Cantt",107,0.33
18242,Dharwad,107,0.33
75,Etah,106,0.32
4288,Jhajjar,106,0.32
103,Sagar,103,0.31
